FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2015–16,Other allied health providers,January to March,Female,25–34 years,Patients,3463
2015–16,Other allied health providers,January to March,Female,35–44 years,Patients,3740
2015–16,Other allied health providers,January to March,Female,45–54 years,Patients,3470
2015–16,Other allied health providers,January to March,Female,55–64 years,Patients,2366
2015–16,Other allied health providers,January to March,Female,65–74 years,Patients,1095
2015–16,Other allied health providers,January to March,Female,75–84 years,Patients,492
2015–16,Other allied health providers,January to March,Female,85 years and over,Patients,328
2015–16,Other allied health providers,January to March,Female,Total,Patients,20548
2015–16,Other allied health providers,January to March,Female,0–4 years,"Patient rate per 1,000 population",0
2015–16,Other allied health providers,January to March,Female,5–11 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Female,12–17 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,18–24 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,25–34 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,35–44 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,45–54 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,55–64 years,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,65–74 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Female,75–84 years,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Female,85 years and over,"Patient rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Female,Total,"Patient rate per 1,000 population",2
2015–16,Other allied health providers,January to March,Female,0–4 years,Services,463
2015–16,Other allied health providers,January to March,Female,5–11 years,Services,3245
2015–16,Other allied health providers,January to March,Female,12–17 years,Services,5039
2015–16,Other allied health providers,January to March,Female,18–24 years,Services,5540
2015–16,Other allied health providers,January to March,Female,25–34 years,Services,8829
2015–16,Other allied health providers,January to March,Female,35–44 years,Services,9705
2015–16,Other allied health providers,January to March,Female,45–54 years,Services,8764
2015–16,Other allied health providers,January to March,Female,55–64 years,Services,6140
2015–16,Other allied health providers,January to March,Female,65–74 years,Services,2745
2015–16,Other allied health providers,January to March,Female,75–84 years,Services,1293
2015–16,Other allied health providers,January to March,Female,85 years and over,Services,1114
2015–16,Other allied health providers,January to March,Female,Total,Services,52877
2015–16,Other allied health providers,January to March,Female,0–4 years,"Service rate per 1,000 population",1
2015–16,Other allied health providers,January to March,Female,5–11 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Female,12–17 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,January to March,Female,18–24 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,January to March,Female,25–34 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,January to March,Female,35–44 years,"Service rate per 1,000 population",6
2015–16,Other allied health providers,January to March,Female,45–54 years,"Service rate per 1,000 population",5
2015–16,Other allied health providers,January to March,Female,55–64 years,"Service rate per 1,000 population",4
2015–16,Other allied health providers,January to March,Female,65–74 years,"Service rate per 1,000 population",3
2015–16,Other allied health providers,January to March,Female,75–84 years,"Service rate per 1,000 population",2
